date,temperature,humidity,luminosity
2019-12-11 14:51:47.055,AA04,"22.2,33.4",258
2019-12-11 14:51:49.333,AA04,"22.2,33.1",258
2019-12-11 14:51:51.606,AA04,"22.2,32.8",256
2019-12-11 14:51:53.879,AA04,"22.2,32.6",258
2019-12-11 14:51:56.152,AA04,"22.2,32.4",258
2019-12-11 14:51:58.426,AA04,"22.3,32.3",258
2019-12-11 14:52:00.702,AA04,"22.3,32.2",258
2019-12-11 14:52:02.975,AA04,"22.3,32.1",258
2019-12-11 14:52:05.249,AA04,"22.2,31.9",260
2019-12-11 14:52:07.522,AA04,"22.3,31.9",260
2019-12-11 14:52:09.799,AA04,"22.3,31.8",260
2019-12-11 14:52:12.073,AA04,"22.3,31.7",258
2019-12-11 14:52:14.346,AA04,"22.2,31.6",260
2019-12-11 14:52:16.619,AA04,"22.3,31.6",258
2019-12-11 14:52:18.897,AA04,"22.2,31.6",260
2019-12-11 14:52:21.170,AA04,"22.3,31.6",261
2019-12-11 14:52:23.443,AA04,"22.3,31.5",263
2019-12-11 14:52:25.717,AA04,"22.3,31.5",261
2019-12-11 14:52:27.994,AA04,"22.3,31.4",261
2019-12-11 14:52:30.267,AA04,"22.2,31.2",261
2019-12-11 14:52:32.540,AA04,"22.3,31.3",261
2019-12-11 14:52:34.813,AA04,"22.3,31.3",265
2019-12-11 14:52:37.086,AA04,"22.3,31.3",263
2019-12-11 14:52:39.364,AA04,"22.2,31.3",261
2019-12-11 14:52:41.637,AA04,"22.2,31.2",261
2019-12-11 14:52:43.910,AA04,"22.3,31.3",261
2019-12-11 14:52:46.183,AA04,"22.3,31.3",261
2019-12-11 14:52:48.461,AA04,"22.3,31.3",263
2019-12-11 14:52:50.734,AA04,"22.3,31.3",263
2019-12-11 14:52:53.008,AA04,"22.3,31.3",261
2019-12-11 14:52:55.281,AA04,"22.3,31.3",261
2019-12-11 14:52:57.554,AA04,"22.3,31.2",263
2019-12-11 14:52:59.831,AA04,"22.3,31.2",261
2019-12-11 14:53:02.103,AA04,"22.3,31.1",261
2019-12-11 14:53:04.377,AA04,"22.3,31.1",263
2019-12-11 14:53:06.651,AA04,"22.3,31.1",263
2019-12-11 14:53:08.928,AA04,"22.3,31.0",263
2019-12-11 14:53:11.201,AA04,"22.3,31.0",260
2019-12-11 14:53:13.475,AA04,"22.3,31.0",260
2019-12-11 14:53:15.748,AA04,"22.3,31.0",261
2019-12-11 14:53:18.024,AA04,"22.3,30.9",261
2019-12-11 14:53:20.299,AA04,"22.3,30.9",263
2019-12-11 14:53:22.572,AA04,"22.3,30.8",263
2019-12-11 14:53:24.845,AA04,"22.3,30.8",261
2019-12-11 14:53:27.118,AA04,"22.3,30.8",261
2019-12-11 14:53:29.395,AA04,"22.3,30.8",261
2019-12-11 14:53:31.669,AA04,"22.3,30.7",261
2019-12-11 14:53:33.942,AA04,"22.3,30.7",260
2019-12-11 14:53:36.215,AA04,"22.3,30.9",260
2019-12-11 14:53:38.493,AA04,"22.3,31.0",258
2019-12-11 14:53:40.766,AA04,"22.3,31.0",261
2019-12-11 14:53:43.039,AA04,"22.3,31.0",261
2019-12-11 14:53:45.311,AA04,"22.3,31.0",261
2019-12-11 14:53:47.585,AA04,"22.3,30.9",261
2019-12-11 14:53:49.863,AA04,"22.3,30.8",260
2019-12-11 14:53:52.136,AA04,"22.3,30.8",261
2019-12-11 14:53:54.410,AA04,"22.3,30.8",263
2019-12-11 14:53:56.682,AA04,"22.3,30.9",263
2019-12-11 14:53:58.959,AA04,"22.3,31.1",263
2019-12-11 14:54:01.234,AA04,"22.3,31.1",265
2019-12-11 14:54:03.507,AA04,"22.3,31.0",265
2019-12-11 14:54:05.779,AA04,"22.3,31.0",265
2019-12-11 14:54:08.057,AA04,"22.3,31.0",263
2019-12-11 14:54:10.330,AA04,"22.3,31.0",263
2019-12-11 14:54:12.603,AA04,"22.3,31.1",263
2019-12-11 14:54:14.876,AA04,"22.3,31.1",261
2019-12-11 14:54:17.150,AA04,"22.3,31.1",254
2019-12-11 14:54:19.427,AA04,"22.3,31.2",258
2019-12-11 14:54:21.700,AA04,"22.3,31.6",261
2019-12-11 14:54:23.974,AA04,"22.3,31.8",260
2019-12-11 14:54:26.247,AA04,"22.3,31.9",258
2019-12-11 14:54:28.524,AA04,"22.3,32.1",258
2019-12-11 14:54:30.798,AA04,"22.3,32.4",256
2019-12-11 14:54:33.071,AA04,"22.3,32.8",261
2019-12-11 14:54:35.344,AA04,"22.3,33.0",261
2019-12-11 14:54:37.617,AA04,"22.3,33.0",261
2019-12-11 14:54:39.894,AA04,"22.3,32.9",263
2019-12-11 14:54:42.167,AA04,"22.3,32.7",263
2019-12-11 14:54:44.441,AA04,"22.3,32.6",261
2019-12-11 14:54:46.714,AA04,"22.3,32.4",261
2019-12-11 14:54:48.991,AA04,"22.3,32.3",261
2019-12-11 14:54:51.265,AA04,"22.3,32.3",261
2019-12-11 14:54:53.538,AA04,"22.3,32.3",261
2019-12-11 14:54:55.810,AA04,"22.3,32.2",260
2019-12-11 14:54:58.085,AA04,"22.3,32.1",263
2019-12-11 14:55:00.362,AA04,"22.3,32.1",263
2019-12-11 14:55:02.635,AA04,"22.3,32.0",263
2019-12-11 14:55:04.909,AA04,"22.3,32.0",261
2019-12-11 14:55:07.181,AA04,"22.3,31.9",261
2019-12-11 14:55:09.455,AA04,"22.3,31.8",263
2019-12-11 14:55:11.732,AA04,"22.3,31.7",265
2019-12-11 14:55:14.006,AA04,"22.3,31.6",260
2019-12-11 14:55:16.279,AA04,"22.3,31.5",260
2019-12-11 14:55:18.552,AA04,"22.3,31.5",260
2019-12-11 14:55:20.829,AA04,"22.3,31.5",260
2019-12-11 14:55:23.102,AA04,"22.3,31.4",260
2019-12-11 14:55:25.376,AA04,"22.3,31.4",261
2019-12-11 14:55:27.648,AA04,"22.2,31.3",261
2019-12-11 14:55:29.925,AA04,"22.3,31.4",261
2019-12-11 14:55:32.200,AA04,"22.3,31.4",261
2019-12-11 14:55:34.473,AA04,"22.3,31.4",263
2019-12-11 14:55:36.746,AA04,"22.3,31.4",263
2019-12-11 14:55:39.023,AA04,"22.3,31.3",263
2019-12-11 14:55:41.296,AA04,"22.3,31.3",263
2019-12-11 14:55:43.570,AA04,"22.3,31.3",260
2019-12-11 14:55:45.843,AA04,"22.3,31.3",258
2019-12-11 14:55:48.117,AA04,"22.3,31.4",260
2019-12-11 14:55:50.393,AA04,"22.3,31.5",260
2019-12-11 14:55:52.667,AA04,"22.3,31.6",260
2019-12-11 14:55:54.941,AA04,"22.3,31.7",260
2019-12-11 14:55:57.214,AA04,"22.3,31.8",260
2019-12-11 14:55:59.491,AA04,"22.3,31.9",261
2019-12-11 14:56:01.764,AA04,"22.3,32.1",263
